timestamp,type,close,average20,average40,shares,amount
Wed Feb 02 2022 14:45,SELLZERO,3538,3599.3025000000002,3599.8075,-1,3714.1999999999985
Wed Feb 02 2022 12:30,BUY,3561.6,3559.6625,3592.28625,0,152.59999999999854
Tue Feb 01 2022 15:15,SELLZERO,3534.45,3563.5875,3573.8850000000007,-1,3687.0499999999984
Tue Feb 01 2022 12:30,BUY,3560.4,3554.6825000000003,3552.738749999999,0,126.64999999999827
Tue Feb 01 2022 12:15,BUYZERO,3568,3554.4000000000005,3552.5874999999987,1,-3441.3500000000017
Tue Feb 01 2022 12:00,SELL,3552.8,3553.2375000000006,3552.826249999999,0,111.44999999999845
Tue Feb 01 2022 11:15,SELLZERO,3545.05,3549.9625000000005,3554.271249999999,-1,3656.4999999999986
Tue Feb 01 2022 10:45,BUY,3557.95,3547.7400000000007,3555.1825,0,98.54999999999882
Tue Feb 01 2022 09:45,SELLZERO,3546.8,3549.7225000000008,3555.834999999999,-1,3645.349999999999
Tue Feb 01 2022 09:15,BUY,3563.4,3550.72,3556.312499999999,0,81.94999999999891
Mon Jan 31 2022 14:15,BUYZERO,3574.85,3558.002500000001,3557.3799999999997,1,-3492.900000000001
Mon Jan 31 2022 13:15,SELL,3559.1,3560.3100000000004,3556.773750000001,0,66.19999999999891
Mon Jan 31 2022 13:00,BUYZERO,3568.5,3561.0474999999997,3556.783750000001,1,-3502.300000000001
Mon Jan 31 2022 12:45,SELL,3551,3560.8774999999996,3556.171250000001,0,48.69999999999891
Mon Jan 31 2022 10:00,SELLZERO,3522,3551.6699999999996,3552.0225,-1,3570.699999999999
Fri Jan 28 2022 13:15,BUY,3522.65,3519.6449999999995,3539.96375,0,48.04999999999882
Fri Jan 28 2022 09:45,SELLZERO,3524.6,3530.750000000001,3531.81625,-1,3572.6499999999987
Thu Jan 27 2022 09:45,BUY,3452.85,3451.47,3491.69375,0,119.79999999999882
Thu Jan 27 2022 09:30,SELLZERO,3415.4,3445.7274999999995,3489.0125,-1,3535.199999999999
Tue Jan 25 2022 15:15,BUY,3469.1,3442.275,3484.41875,0,66.099999999999
Tue Jan 25 2022 13:30,SELLZERO,3441.1,3444.1450000000013,3469.05625,-1,3507.199999999999
